"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA","SIL3"
"ET406","EustonTap","1",0.0915311491295604,0.077521220321301,NA,NA,NA,15.7477709945166,15.5,1.53,0.0318,0.33,0.00717,0.23,59.79,4.39,13.6,48.3
"ET407","EustonTap","1",-0.067233425367685,0.257442439849068,NA,NA,NA,27.8491103760016,26.8,1.84,0.0454,0.316,0.00481,0.165,68.41,6.58000000000001,6.89,57.67
"ET408","EustonTap","1",0.111280545409345,0.134457844244984,NA,NA,NA,16.0345128266808,15.8,1.52,0.0318,0.311,0.00364,0.0649,59.59,7.23999999999999,7.7,47.93
"ET409","EustonTap","1",-0.229916416714764,0.253533994453732,NA,NA,NA,31.2375558277004,29.1,1.93,0.0441,0.315,0.00537,0.172,69.98,16.48,6.16,58.47
"ET410","EustonTap","1",-0.0298292869060764,0.160104229251945,NA,NA,NA,22.7251936641266,22.4,1.6,0.0355,0.284,0.00449,0.359,64.31,13.06,10.5,51.85
"ET411","EustonTap","1",0.0665689481988724,0.111011068284093,NA,NA,NA,18.2652493166334,18,1.6,0.0329,0.299,0.00435,0.274,60.95,7.63,10.69,49.3
"ET412","EustonTap","1",-0.0349572583625151,0.131621589959606,NA,NA,NA,18.8197129850512,17.7,1.92,0.0353,0.394,0.00354,0.0679,63,2.69,8.43000000000001,52.93
"ET413","EustonTap","1",0.03412794883013,0.146489337078511,NA,NA,NA,18.3830817218998,18.1,1.71,0.0342,0.403,0.00582,0.0725,61.94,4.07,8.74000000000001,51.38
"ET414","EustonTap","1",0.0512706282287425,0.247251169573369,NA,NA,NA,19.8265996015683,19.5,1.63,0.0394,0.306,0.00392,0.0533,65.36,3.48,5.27,53.79
"ET415","EustonTap","1",0.0162848181244319,0.107453744994729,NA,NA,NA,15.6572012461651,15.4,1.72,0.0354,0.338,0.00408,0.068,62.05,1.28,11.5,50.93
"ET416","EustonTap","1",-0.15619464045653,0.134472057010464,NA,NA,NA,34.5884206000934,29.9,2.14,0.0405,0.31,0.00572,0.226,67.07,6.81000000000001,10,56.84
"ET417","EustonTap","1",-0.0724318524603731,0.120002827663848,NA,NA,NA,22.4438647455643,21,1.93,0.0359,0.299,0.00408,0.238,64.53,2.05,12.7,54.59
"ET418","EustonTap","1",0.00235858180582299,0.169424552190034,NA,NA,NA,18.9778548755392,18.2,1.86,0.0339,0.294,0.00539,0.2,63.33,2.88,8.07000000000001,53.86
"ET419","EustonTap","1",-0.264324202520191,0.220658270194192,NA,NA,NA,43.9291480773218,34.1,2.45,0.0473,0.357,0.00631,0.409,73,7.03,7.28,63.64
"ET420","EustonTap","1",-0.136375882118594,0.228457427328404,NA,NA,NA,29.9093222877716,25.7,2.17,0.0396,0.344,0.00668,0.0923,68.93,1.08999999999999,5.22999999999999,59.47
"ET421","EustonTap","1",-0.106778216742009,0.217140858007917,NA,NA,NA,25.1047181982338,22.9,2,0.0412,0.313,0.00502,0.0581,68.52,1.39,6.18000000000001,57.44
"ET422","EustonTap","1",-0.0838850378402674,0.0928640510935563,NA,NA,NA,21.2477901783771,19,2.07,0.0351,0.295,0.0128,0.114,63.85,1.3,9.45,53.95
"ET423","EustonTap","1",-0.0307629037329943,0.0795184539832365,NA,NA,NA,15.6256740097679,15.1,1.84,0.0311,0.295,0.00375,0.0822,60.25,6.58,9.83,50.03
"ET424","EustonTap","1",-0.172020656399415,0.1439353209878,NA,NA,NA,26.6296705499804,23.1,2.15,0.0381,0.326,0.00638,0.208,65.53,9.31,8.28999999999999,56.4
"ET425","EustonTap","1",-0.161681550865845,0.23159149035568,NA,NA,NA,33.1331088384768,30.3,1.98,0.0406,0.322,0.00603,0.24,69.18,12.4,5.36,57.66
"ET426","EustonTap","1",-0.115930655987605,0.254993096589102,NA,NA,NA,32.0787491592715,30.3,1.89,0.047,0.349,0.00585,0.132,69.35,9.73,6.11,58
"ET427","EustonTap","1",-0.17420642742738,0.300829467469022,NA,NA,NA,43.6518426301061,39,2.03,0.0463,0.328,0.0057,0.118,72.8,8.39,4.63000000000001,61.37
"ET428","EustonTap","1",-0.0318081491757198,0.16379538450187,NA,NA,NA,22.5116846331124,22.2,1.73,0.0345,0.324,0.00389,0.14,63.03,9.73999999999999,8.73999999999999,52.4
