"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LCeq_LAeq","SIL3"
"ET433","EustonTap","1",-0.209337667605777,0.233365196017017,2.5679300132188,4.05152283624264,1.64373228002099,32.5065849366824,30.5,1.91,0.0386,0.305,0.00478,0.184,68.36,12.54,7.25,57.53
"ET434","EustonTap","1",-0.256514440863771,0.242418437216891,2.34887115650309,3.74653832383888,1.5355077173778,43.3250086011468,39.3,1.99,0.0407,0.321,0.0044,0.17,69.67,5.77000000000001,7.5,59.29
"ET435","EustonTap","1",-0.129725817026158,0.133767122736382,2.8004937944033,3.76162517898444,2.02626853237797,19.7176423703781,18.6,1.91,0.0322,0.309,0.00609,0.243,61.47,7.01,8.11,52.22
"ET436","EustonTap","1",-0.163878087020112,0.26638330672714,2.67814631407052,3.81702026020843,1.6830396742686,28.5471345369746,27.2,1.87,0.0405,0.311,0.00486,0.172,68.27,7.37,5.18000000000001,57.79
"ET437","EustonTap","1",-0.21151144369815,0.218676797981921,2.56994955244724,4.20109726907258,1.80157178509352,29.0807944772306,28.7,1.71,0.0359,0.322,0.00442,0.114,66.68,14.93,7.66999999999999,54.06
"ET438","EustonTap","1",-0.234073527005314,0.236818343752212,2.60951900134636,3.93141572452533,1.52536483389844,43.9831872201991,35,2.37,0.0415,0.325,0.00708,0.439,72.11,13.06,4.88,63.07
"MC501","MarchmontGarden","1",0.131732928563412,-0.0456359480610236,2.66775081491012,2.58032125678861,2.98533118810891,12.5440159712672,12.1,1.85,0.0239,0.422,0.00994,0.133,55.61,10.21,8.53,44.21
"MC502","MarchmontGarden","1",0.294069291191677,-0.191547081654203,2.862072474343,2.60163436807587,3.10837079354933,6.62701776727896,6.53,1.48,0.0213,0.357,0.00414,0.0687,46.46,2.99,13.92,36.55
"MC503","MarchmontGarden","1",0.117849429332005,-0.0448772757914324,2.73990098352412,2.50754496041532,2.86341413305543,11.7686038905193,11.6,1.56,0.0251,0.337,0.00678,0.185,52.91,11.68,10.56,42.07
"MC504","MarchmontGarden","1",0.313670911461151,-0.211017466033525,2.79997686156057,2.61766059406918,3.30573992614204,5.68104610546136,5.6,1.57,0.0199,0.312,0.00321,0.0497,45.31,1.72,11.95,35.83
"MC505","MarchmontGarden","1",0.301769966076495,-0.185044984876398,2.59592436586484,2.64749718829641,3.32529084684036,9.12786187672459,8.26,2.08,0.0221,0.341,0.00533,0.101,49.31,2.26000000000001,10.25,41.17
"MC506","MarchmontGarden","1",0.166864166681932,-0.0486681402998181,2.59272418537074,2.55960831127232,2.95170411984056,12.8676216364757,12.6,1.8,0.0242,0.302,0.00424,0.191,53.55,8.34999999999999,9.58000000000001,43.66
"MC507","MarchmontGarden","1",0.238827667237308,0.00397780630207431,2.69328891415938,2.62390423736309,2.71543223521655,12.0838844888026,11.9,1.75,0.0286,0.398,0.00482,0.149,55.48,7,10.61,45.71
"MC508","MarchmontGarden","1",0.240035824177042,-0.132624274973959,2.6670200528197,2.61311733131415,3.08868668324029,9.99086956138929,9.4,1.94,0.0234,0.381,0.00556,0.124,51.76,5.55,11.33,42.36
"MC509","MarchmontGarden","1",0.112497799057075,-0.0831090203850071,2.67079020095848,2.56468031002827,2.88677262315477,13.169237851032,13,1.75,0.0232,0.416,0.00685,0.126,52.71,10.5,11.96,42.86
"MC510","MarchmontGarden","1",0.313602051733884,-0.163635656326819,2.93679766097223,2.58940551436935,2.74651910645695,8.031184162448,7.9,1.44,0.0241,0.411,0.00738,0.144,50.13,2.73,17.77,38.92
"MC511","MarchmontGarden","1",0.30029889251509,-0.0894729564672207,2.89794323526893,2.58239423760731,2.72786765526445,8.61580234590921,8.47,1.43,0.0262,0.373,0.0071,0.165,51.86,4.15,14.63,40.6
"MC512","MarchmontGarden","1",0.204259136046707,0.0424556918438235,2.57341542069766,2.64377699915499,2.55716887106354,15.9146456802047,15.7,1.48,0.0281,0.316,0.00502,0.0991,56.9,6.98,11.19,44.93
"MC513","MarchmontGarden","1",0.343703903345329,-0.127124746549504,2.95625316522542,2.56548919812224,2.74035795278344,7.98308711486126,7.85,1.33,0.025,0.351,0.00683,0.201,51.04,1.63,16.22,38.73
"MC514","MarchmontGarden","1",0.24423066054781,-0.152863327532474,2.90917927370794,2.54710963147213,2.8738761641733,7.51556083371623,7.4,1.22,0.0235,0.315,0.00463,0.0972,49.09,6.2,15.6,36.3
"MC515","MarchmontGarden","1",0.236146344442326,-0.0987440168762483,2.84622507525587,2.59147990495274,2.83814059177544,9.128570844715,8.99,1.41,0.0233,0.371,0.0076,0.0972,51.42,5.87,13.39,39.61
"MC516","MarchmontGarden","1",0.253911678099046,-0.181150070698699,2.93440022313288,2.56662556652056,2.95620371989227,7.21544024175309,7.1,1.38,0.0229,0.399,0.00649,0.0858,48.89,5.55,15.54,36.77
"MC517","MarchmontGarden","1",0.250202871747336,-0.210779628548876,2.956026889823,2.59067319124288,2.82329937530273,8.36815178956737,8.19,1.61,0.0241,0.533,0.0217,0.097,50.13,5.85,17.78,39.52
"MC518","MarchmontGarden","1",0.122829403935202,-0.122710833748777,2.83873574568127,2.51860962071585,3.01546192786645,10.3888230709565,10.2,1.61,0.0245,0.451,0.017,0.128,54.79,11.72,11.18,40.29
"MC519","MarchmontGarden","1",0.116539197753816,-0.0734168437907409,2.71536681307329,2.50543955510795,2.63663060584481,13.8695742762465,13.7,1.75,0.0234,0.39,0.00534,0.267,55.56,10.1,15.33,44.41
"MC520","MarchmontGarden","1",0.250791537459748,-0.039212005935352,2.98258078372624,2.52671865131808,2.87759296995851,9.38401293274616,9.23,1.28,0.0256,0.399,0.00815,0.202,54.48,6.09,10.02,39.54
"MC521","MarchmontGarden","1",0.239163037872883,-0.115192168523416,2.81251232805203,2.59567499591032,2.91719424995771,9.60189943279661,9.46,1.39,0.0245,0.363,0.00551,0.0636,50.43,6.08,13.13,38.54
"MC522","MarchmontGarden","1",0.268827358812074,-0.100923055074704,2.80687073963154,2.59564280556013,2.9095700918468,9.08154843853303,8.94,1.43,0.0258,0.34,0.00491,0.0916,50.38,5.38,12.62,39.26
"MC523","MarchmontGarden","1",0.347099080058445,-0.17668050075763,2.93642334093406,2.60635216136448,2.93219029925671,6.0908508604787,5.99,1.21,0.0241,0.325,0.00336,0.0561,47.04,1.8,15.93,35.3
"MC524","MarchmontGarden","1",0.359078554432892,-0.0707637524969424,2.88368069265404,2.63482002855491,2.82972119863353,7.40737014460032,7.29,1.31,0.0251,0.321,0.00322,0.102,50.43,1.12,12.54,39.2
"MC525","MarchmontGarden","1",0.343070375809734,-0.118965325322284,2.99377922271759,2.5840121747915,2.91074955277533,6.97117227779845,6.86,1.37,0.0241,0.403,0.004,0.159,48.89,1.65,13.51,38.25
"MC526","MarchmontGarden","1",0.227885456971377,-0.0695655006721464,2.88466192629761,2.55574391419055,3.00744062859435,7.90280875041919,7.77,1.39,0.0236,0.346,0.00911,0.13,50.33,6.93,9.42,39.2
"MC527","MarchmontGarden","1",0.273094603469979,-0.15403887164015,2.93776866069809,2.5699720933043,3.15979715374861,6.54365118262288,6.44,1.3,0.0229,0.366,0.00453,0.0652,48.27,4.84,11.41,35.44
"MC528","MarchmontGarden","1",0.103437832192363,0.00101370982661145,2.67000124866407,2.54573908570243,2.79565066824673,13.3798168731271,13.2,1.5,0.0257,0.327,0.0053,0.13,53.95,12.04,9.55,42.87
"MC529","MarchmontGarden","1",0.288613729378358,-0.15129206488133,2.98143270702717,2.51429859506669,3.07387679858316,7.26431023362406,7.14,1.44,0.0243,0.389,0.00738,0.209,48.96,4.41,12.34,37.39
"MC530","MarchmontGarden","1",0.205562927494295,-0.165980161371825,2.88958133043546,2.51743888834361,2.5950432443498,9.60147153467822,9.44,1.38,0.0249,0.363,0.0108,0.177,50.47,7.99,19.89,39.26
"MC531","MarchmontGarden","1",0.325648963057836,-0.0917592917064366,2.89231246019674,2.59818075554808,2.90550699380129,7.92437790030116,7.78,1.48,0.0253,0.372,0.0104,0.155,50.1,2.72000000000001,11.86,40.15
"MC532","MarchmontGarden","1",0.274948404907674,-0.124893182337844,2.85139148182699,2.59308418495008,2.86470667857386,8.3713595772193,8.24,1.33,0.0248,0.335,0.0053,0.0794,49.54,4.89,14.38,38.04
"MC533","MarchmontGarden","1",0.307073894867468,-0.164285710330573,2.92731762636357,2.56091922722019,2.55181405929692,10.1719431239335,10,1.35,0.0267,0.4,0.00948,0.186,51.92,3.41,20.55,39.21
"MC534","MarchmontGarden","1",0.321087189563259,-0.0953230222140889,2.89075932858046,2.54766539138096,2.64121921311736,9.99884326735593,9.83,1.37,0.0279,0.335,0.00729,0.235,52.88,3.32,16.18,40.39
"MC535","MarchmontGarden","1",0.290896928283729,-0.189305764408851,2.80216123538476,2.59228054814546,2.91111025418129,8.99081156899391,8.86,1.49,0.0232,0.34,0.00572,0.11,48.94,3.08,16.63,37.84
"MC536","MarchmontGarden","1",0.300413858289061,-0.102955805044246,2.79573739050151,2.62867659196478,2.89578516249422,7.98657894501519,7.86,1.43,0.0252,0.318,0.00433,0.0622,49.93,3.93,12.96,39.27
"MC537","MarchmontGarden","1",0.328952353415189,-0.269748187556558,2.56711750380344,2.63481704189263,3.17879518458864,8.89178787206515,7.81,2.19,0.0228,0.314,0.00784,0.139,49.25,1.38,16.16,41.18
"MC538","MarchmontGarden","1",0.277768346849025,-0.162270177845311,2.86686063031417,2.59723851517935,3.13599183133499,7.67523629021092,7.53,1.74,0.0236,0.458,0.0142,0.118,49.54,4.48,11.41,39.85
"MC539","MarchmontGarden","1",0.235692434369173,-0.0515992808259805,2.8283313044535,2.61131299556668,3.01336808567631,9.33018104430581,9.18,1.47,0.024,0.397,0.00954,0.0737,51.6,6.14,8.46,40.34
"MC540","MarchmontGarden","1",0.183833786469814,-0.0446691578770414,2.81618454449908,2.55424663146926,3.05208592982789,10.3963759937948,10.2,1.53,0.0268,0.405,0.0157,0.121,53.11,9.66999999999999,7.12,41.06
"MC541","MarchmontGarden","1",0.104566134213968,0.0221716028793183,2.6146405285619,2.57148231670059,2.94670371145232,18.1456788268483,17.5,1.84,0.0302,0.508,0.0184,0.15,58.89,12.31,5.36,46.16
"MG201","MonumentoGaribaldi","1",0.261791265351988,0.191626750002319,3.10872725096092,1.89891773994578,2.0079690653985,25.5547509215931,24.8,1.82,0.0352,0.27,0.00555,0.428,65.34,7.78,9.89,54.43
"MG202","MonumentoGaribaldi","1",0.273252522200296,0.194489000456066,3.12158837816976,1.99889105568697,2.02924735621085,25.918123413547,24.7,1.87,0.0407,0.339,0.0102,0.323,66.01,7.12,8.89,55.07
"MG203","MonumentoGaribaldi","1",0.304574740520432,0.215183728505369,3.18783543975004,2.17334355100098,1.96480918359624,28.0199511178239,25.4,2.01,0.0558,0.358,0.01,0.338,67.21,3.5,8.13000000000001,57.45
"MG204","MonumentoGaribaldi","1",0.342303098354525,0.242660068451083,3.201733338558,2.25890096494234,2.01563020301942,28.5828694850409,26.2,1.97,0.0829,0.412,0.00425,0.307,68.6,2.22999999999999,6.62,57.2
