"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA"
"CT537","CamdenTown","1",-0.0186398570966545,0.357606867946588,NA,NA,NA,32.9431071510359,30.9,1.91,0.0409,0.364,0.00507,0.186,68.64,13.76,8.22
"CT538","CamdenTown","1",-0.0242767102270409,0.422049416951178,NA,NA,NA,34.3951750207956,33.5,1.79,0.0598,0.363,0.00892,0.525,68.27,14.39,9.04000000000001
"CT539","CamdenTown","1",-0.0181157944652122,0.336919060887523,NA,NA,NA,39.3632286922439,35.9,1.98,0.0386,0.335,0.00575,0.285,67.35,11.21,9.31
"CT540","CamdenTown","1",-0.0171485635770753,0.386609595170158,NA,NA,NA,36.1695115875486,33.5,1.94,0.0476,0.332,0.00854,0.332,69.28,11.92,6.78999999999999
"CT541","CamdenTown","1",0.0284409056018924,0.302751657297609,NA,NA,NA,24.2779649012914,23.9,1.74,0.0359,0.368,0.0107,0.194,64.96,9.43000000000001,10.83
"CT542","CamdenTown","1",0.0135991167304862,0.316805659253833,NA,NA,NA,29.931732985091,27.9,1.93,0.0369,0.351,0.0142,0.248,66.86,11.83,8.54000000000001
"CT543","CamdenTown","1",-0.0201247197594759,0.361249881617846,NA,NA,NA,39.2049820094806,36.3,1.94,0.0348,0.342,0.00592,0.355,67.66,14.64,8.98
"CT544","CamdenTown","1",-0.046167448205473,0.363964410181932,NA,NA,NA,45.9416686518882,39,2.17,0.0411,0.339,0.00591,0.204,70.82,12.11,5.74000000000001
"CT545","CamdenTown","1",-0.0847847506436294,0.440652269486152,NA,NA,NA,50.6682015889163,45.6,2,0.0688,0.323,0.00985,0.255,73.14,9.18000000000001,5.04000000000001
"ET401","EustonTap","1",-0.173294757833192,0.264022613514704,NA,NA,NA,29.3714346659045,28.9,1.74,0.0444,0.333,0.00524,0.115,69.23,6.22999999999999,6.67999999999999
"ET402","EustonTap","1",-0.0573602755503893,0.157792665602468,NA,NA,NA,22.9025854200447,22.6,1.62,0.0324,0.335,0.00484,0.126,62.97,10.36,5.02
