"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA","RA"
"CT518","CamdenTown","1",0.01721192411296,0.217731468710108,NA,NA,NA,30.9284772390546,30.3,1.79,0.0323,0.316,0.0105,0.37,64.07,8.97000000000001,10.27,11.4
"CT519","CamdenTown","1",-0.0296002328651555,0.268377103093921,NA,NA,NA,39.7778625012536,37.8,1.87,0.0413,0.434,0.00729,0.17,69.62,16.17,10.9,13.2
"CT520","CamdenTown","1",0.0424513462680187,0.22244742930299,NA,NA,NA,26.0083896882318,24.8,1.87,0.038,0.355,0.00655,0.153,66.5,9.16,8.2,13.4
"CT521","CamdenTown","1",-0.0376522293338289,0.284875873979878,NA,NA,NA,41.0967406170219,39.3,1.85,0.0528,0.409,0.00693,0.165,69.53,16.41,8.84999999999999,14.2
"CT522","CamdenTown","1",0.0270358864388186,0.196837195986526,NA,NA,NA,28.9316619008551,26.6,1.97,0.045,0.344,0.00494,0.114,66.18,8.20999999999999,7.47999999999999,12.7
"CT523","CamdenTown","1",-0.0680402743756734,0.266260204598989,NA,NA,NA,46.0689586320754,37.3,2.31,0.049,0.4,0.00919,0.312,71.03,9.74,8.94,14.8
"CT524","CamdenTown","1",0.0216464633611149,0.240903486122776,NA,NA,NA,27.6828148270262,26.9,1.8,0.0376,0.377,0.0357,0.565,64.67,6.03,10.2,13.9
"CT525","CamdenTown","1",-0.0252704680527403,0.250906875215438,NA,NA,NA,37.8506512505366,33.8,2.04,0.0392,0.35,0.00741,0.295,68.61,10.61,10.49,13.6
"CT526","CamdenTown","1",0.043321194526771,0.201601542025717,NA,NA,NA,23.634266399007,23.2,1.74,0.04,0.435,0.0155,0.157,65.65,6.38,10.19,14.8
"CT527","CamdenTown","1",-0.128328393523231,0.405903700819265,NA,NA,NA,53.6143729260403,48.5,1.97,0.133,0.498,0.0221,0.449,73.65,15.85,7.36,15.6
"CT528","CamdenTown","1",-0.113175594463179,0.33720194478481,NA,NA,NA,52.9718049619155,44.3,2.2,0.0471,0.317,0.00848,0.26,72.67,12.01,5,13.3
"CT529","CamdenTown","1",0.134089525385947,0.145572280396695,NA,NA,NA,15.5533303059216,15.3,1.54,0.033,0.355,0.00704,0.233,59.51,6.3,9.65,11.5
"CT530","CamdenTown","1",-0.000813246857407302,0.257463150211824,NA,NA,NA,31.6359675917563,31.1,1.77,0.0399,0.391,0.00921,0.126,67.99,10.91,8.55000000000001,14.6
"CT531","CamdenTown","1",-0.132603548597305,0.331410161370782,NA,NA,NA,50.1896213823284,44.2,2.06,0.0554,0.353,0.00793,0.316,72.64,8.45999999999999,10.77,14.5
