"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA","RA"
"MG305","MonumentoGaribaldi","1",0.364011184746201,-0.125432926410667,NA,NA,NA,6.40865067910495,6.27,1.67,0.0225,0.455,0.0191,0.153,47.25,6.62,4.89,8.43
"MG306","MonumentoGaribaldi","1",0.366925985716215,-0.101699090253748,NA,NA,NA,5.72392258412195,5.6,1.57,0.0241,0.457,0.0144,0.188,46.74,6.45,4.64,7.88
"MG307","MonumentoGaribaldi","1",0.372309304239057,-0.13781539005592,NA,NA,NA,6.42773304823994,6.29,1.64,0.0236,0.447,0.017,0.224,46.89,8.01,8.86,8.68
"MG308","MonumentoGaribaldi","1",0.368820917456484,-0.067847372163123,NA,NA,NA,7.07197522124851,6.92,1.54,0.0248,0.435,0.0174,0.248,48.65,7.21,7.33,8.84
"MG309","MonumentoGaribaldi","1",0.370362553973733,-0.0868160040384741,NA,NA,NA,6.20825903713317,6.08,1.49,0.0226,0.37,0.0159,0.168,47.65,5.63,6.06,7.72
"MG310","MonumentoGaribaldi","1",0.366225012092571,-0.0483273318649551,NA,NA,NA,7.52555927718236,7.34,1.49,0.0301,0.444,0.0192,0.147,50.14,8,6.4,8.91
"MG311","MonumentoGaribaldi","1",0.32177835199815,0.0213007201633745,NA,NA,NA,16.2760358280474,14.7,2.04,0.0337,0.668,0.0706,0.264,58.85,11.54,2.33,12.2
"MG312","MonumentoGaribaldi","1",0.356947309157395,0.00620963443125121,NA,NA,NA,8.80879129663879,8.65,1.61,0.0232,0.38,0.0151,0.199,52.16,7.16,4.22000000000001,8.42
"MG313","MonumentoGaribaldi","1",0.378042799048158,-0.105335970401073,NA,NA,NA,7.28011686946347,7.12,1.46,0.0225,0.318,0.0228,0.202,48.45,6.37,11.17,7.78
"MG314","MonumentoGaribaldi","1",0.365956606849511,-0.12864075584236,NA,NA,NA,6.03495571689018,5.91,1.61,0.0205,0.378,0.0186,0.19,46.25,5.76,5.27,7.42
"MG315","MonumentoGaribaldi","1",0.379080290865498,-0.152907976927401,NA,NA,NA,5.86141810274021,5.74,1.55,0.0228,0.355,0.0146,0.135,46.51,5.87,9.54,8.62
"MG316","MonumentoGaribaldi","1",0.365940387445513,-0.14786721582003,NA,NA,NA,6.10099666833066,5.98,1.59,0.0217,0.388,0.0149,0.119,46.03,7.07,6.11,7.75
"MG317","MonumentoGaribaldi","1",0.366897013368223,-0.125819538026745,NA,NA,NA,5.88605795818247,5.77,1.63,0.022,0.378,0.0135,0.169,46.41,5.77,5.12,7.53
"MG318","MonumentoGaribaldi","1",0.365201733112779,-0.10986239101508,NA,NA,NA,6.8201039657409,6.69,1.56,0.021,0.378,0.0162,0.181,47.16,6.7,6.53,7.71
"MG319","MonumentoGaribaldi","1",0.350673222064667,-0.0507370967063038,NA,NA,NA,7.16725611600391,7.04,1.69,0.0201,0.378,0.0151,0.231,48.94,11.87,2.27,7.55
"MG320","MonumentoGaribaldi","1",0.351627748888523,0.0681909868489328,NA,NA,NA,8.71176789955507,8.5,1.66,0.0265,0.359,0.0275,0.386,53.45,10.81,2,8.2
"MG321","MonumentoGaribaldi","1",0.357666436736122,-0.00785271707080988,NA,NA,NA,9.45003738568028,8.4,2.14,0.0187,0.444,0.0269,0.37,55.06,17.32,4.89,10.7
"MG322","MonumentoGaribaldi","1",0.342995516716019,-0.0902478046784115,NA,NA,NA,11.0695566139619,9.66,2.19,0.0238,0.681,0.0561,0.249,54.15,16.34,3.13,11.2
"MG323","MonumentoGaribaldi","1",0.368119847939094,-0.076041991432741,NA,NA,NA,8.49632379531353,7.89,1.99,0.0176,0.413,0.0156,0.302,52.05,14.55,9.17,10.2
"MG324","MonumentoGaribaldi","1",0.361022918105873,0.0223259953731892,NA,NA,NA,9.62505952498577,9.27,1.85,0.0256,0.4,0.0199,0.327,54.92,13.41,7.12,10.1
"MG326","MonumentoGaribaldi","1",0.395238614575497,-0.217247185974992,NA,NA,NA,8.05340784058359,7.91,1.57,0.0223,0.48,0.0141,0.167,47.96,13.29,22.55,12.8
"MG327","MonumentoGaribaldi","1",0.336995595358489,0.0968553598091394,NA,NA,NA,11.779839933484,11.1,1.92,0.0219,0.452,0.0397,0.51,56.21,12.3,1.33,9.21
"MG328","MonumentoGaribaldi","1",0.346618278224977,0.0350095474838953,NA,NA,NA,10.7467143171275,10.4,1.83,0.0223,0.387,0.0269,0.381,54.17,10.64,4.34,8.59
"MG329","MonumentoGaribaldi","1",0.362012691144544,0.0639086955419496,NA,NA,NA,8.54176439119442,8.36,1.39,0.0272,0.333,0.0175,0.464,51.25,9.86,7.14,7.99
"MG330","MonumentoGaribaldi","1",0.333480008785828,0.0959697290706941,NA,NA,NA,12.5037922815497,11.9,1.87,0.0241,0.383,0.0594,0.475,57.41,12.76,1.18000000000001,9.53
"MG331","MonumentoGaribaldi","1",0.353546182365482,0.016541974900858,NA,NA,NA,7.97254513680661,7.75,1.74,0.0208,0.381,0.0435,0.381,52.56,10.78,1.56,8.6
"MG332","MonumentoGaribaldi","1",0.345302836025207,0.0305922536059094,NA,NA,NA,8.88796017129792,8.57,1.81,0.0191,0.407,0.0576,0.415,53.97,13.76,0.410000000000004,9.03
"MG333","MonumentoGaribaldi","1",0.344068601332911,0.0624168913549538,NA,NA,NA,8.91274913235561,8.71,1.61,0.0221,0.453,0.0303,0.299,53.72,16.18,1.4,8.41
"MG334","MonumentoGaribaldi","1",0.329597629163035,0.100732086865345,NA,NA,NA,12.1264602746159,11.8,1.7,0.0237,0.422,0.0496,0.353,57.01,16.93,1.32,9.65
"PL301","PancrasLock","1",0.134852227913214,0.0667017744110541,NA,NA,NA,30.3027436298135,21.9,2.77,0.0313,0.314,0.00429,0.0266,66.19,0.849999999999994,3.61,11.6
"PL302","PancrasLock","1",0.237706954283261,0.0458336089203951,NA,NA,NA,22.6837271855554,17.7,2.53,0.0279,0.312,0.00383,0.0348,63.09,0.990000000000002,3.92999999999999,10.6
"PL303","PancrasLock","1",0.341005998211337,0.01568803153251,NA,NA,NA,17.2531949506981,14.4,2.32,0.0264,0.328,0.00416,0.0385,60.02,1.96,4.57999999999999,10.2
"PL304","PancrasLock","1",0.393137930103654,-0.0769652796633345,NA,NA,NA,8.98209510215572,8.86,1.73,0.023,0.301,0.00332,0.0662,52.34,2.66,10.85,9.92
"PL305","PancrasLock","1",0.290241660686658,-0.0606725426001395,NA,NA,NA,10.2497165058565,9.92,1.84,0.0249,0.306,0.00806,0.0964,54.41,2.18,11.81,10.7
"PL306","PancrasLock","1",0.0963937963590881,-0.22203962613755,NA,NA,NA,11.1451831631083,9.91,2.13,0.0242,0.316,0.0138,0.0457,52.56,1.47,18.84,12.3
"PL307","PancrasLock","1",0.0180624699007975,-0.0371133709035796,NA,NA,NA,19.9720250922467,16.5,2.34,0.0293,0.323,0.00692,0.0259,60.91,0.719999999999999,12.58,13.2
"PL308","PancrasLock","1",0.0985822070599373,-0.14156183676759,NA,NA,NA,13.6812309544644,12.3,2.08,0.0262,0.33,0.00887,0.0793,54.69,2.19,17.02,12.9
"PL309","PancrasLock","1",0.518854864619972,0.0314700901543916,NA,NA,NA,10.4497897984206,10.3,1.75,0.0251,0.294,0.00474,0.176,54.67,3.79,5.52,8.82
"PL310","PancrasLock","1",0.245474414753826,-0.0410621995066982,NA,NA,NA,10.6698302679422,10.5,1.67,0.0263,0.362,0.00806,0.121,54.64,4.61,14.53,11.9
"PL311","PancrasLock","1",0.390915454157211,0.00662653268488472,NA,NA,NA,10.3554145610998,10.2,1.67,0.0258,0.329,0.00554,0.151,54.46,3.01,9.15,10.1
"PL312","PancrasLock","1",0.510688174941394,-0.000473159830582486,NA,NA,NA,10.248037835239,10.1,1.64,0.0242,0.36,0.00609,0.135,53.67,5.91,8.06,9.58
"PL313","PancrasLock","1",0.552943534732084,0.0102178883867903,NA,NA,NA,9.30772314110593,9.18,1.58,0.0233,0.311,0.00378,0.0716,53.43,3.94,5.81,8.86
"PL314","PancrasLock","1",0.38549824363978,0.127385879871466,NA,NA,NA,16.6389287614427,16.4,1.74,0.0275,0.395,0.0099,0.182,59.74,6.31,5.94,11.2
"PL315","PancrasLock","1",2.04005609068525e-05,-0.0631299476003284,NA,NA,NA,13.9216122774389,13.7,1.55,0.0285,0.347,0.0101,0.0825,55.33,4,20.48,13.8
"PL316","PancrasLock","1",0.282542305479868,-0.0124113044034013,NA,NA,NA,15.4723120387189,13.4,2.2,0.027,0.311,0.00406,0.0284,58.63,0.920000000000002,7.02999999999999,10.5
"PL317","PancrasLock","1",0.216182028355307,0.050649326029506,NA,NA,NA,24.2264955513924,18.7,2.56,0.0307,0.307,0.0043,0.0239,63.67,0.719999999999999,3.73,10.9
"PL318","PancrasLock","1",0.0978533664680672,0.0550122243219426,NA,NA,NA,33.0223255433981,23.1,2.88,0.0314,0.32,0.00386,0.0202,66.73,0.670000000000002,3.94,12.4
"PL319","PancrasLock","1",0.114867835346852,0.0754323820113865,NA,NA,NA,32.2921563807702,23.2,2.78,0.0318,0.305,0.00407,0.0312,66.6,0.690000000000012,3.51000000000001,11.4
"PL320","PancrasLock","1",0.111129008557238,0.0814342486786975,NA,NA,NA,34.2963431767768,24,2.87,0.0327,0.316,0.00453,0.022,67.51,0.679999999999993,2.70999999999999,11.1
"PL321","PancrasLock","1",-0.125183633859594,0.0633763871039264,NA,NA,NA,74.3973266171312,39.3,3.86,0.0366,0.358,0.00646,0.034,74.67,1.48,1.48999999999999,13.3
"PL322","PancrasLock","1",0.316260482154818,-0.095842404707944,NA,NA,NA,10.1820731399708,9.94,1.81,0.0239,0.369,0.00609,0.053,52.98,2.39,12.3,9.93
"PL323","PancrasLock","1",0.265775521263815,-0.127089655813338,NA,NA,NA,9.73465310046692,9.6,1.72,0.0241,0.312,0.0036,0.0558,51.46,2.08,14.96,10.7
"PL324","PancrasLock","1",0.256091085290771,-0.0806447938674808,NA,NA,NA,10.7478267776119,10.6,1.71,0.0245,0.302,0.00437,0.0543,53.35,2.70999999999999,13.94,10.9
"PL325","PancrasLock","1",0.215555830214424,0.0630943851358656,NA,NA,NA,13.9377562181795,13.7,1.59,0.0306,0.317,0.0108,0.147,58.21,5.56,12.52,12.5
"PL326","PancrasLock","1",0.076471351784767,-0.199642549388165,NA,NA,NA,9.18605150435664,9.05,1.66,0.0223,0.319,0.00816,0.0549,50.34,2.4,22.07,13.1
"PL327","PancrasLock","1",0.261760251139729,-0.0229273666763631,NA,NA,NA,13.7275625907871,13.5,1.66,0.0237,0.322,0.0192,0.272,55.16,9.86,16.51,12.1
"PL328","PancrasLock","1",0.261713843829236,-0.207507792705702,NA,NA,NA,8.33065183104037,8.03,1.86,0.0217,0.322,0.00558,0.027,49.76,1.68,16.53,10.6
"PL329","PancrasLock","1",0.167338080787438,-0.234197744681534,NA,NA,NA,8.48614086775479,8.15,1.87,0.0218,0.325,0.0113,0.0577,49.7,1.86,19.6,12.1
"PL330","PancrasLock","1",0.128693349908635,-0.0130353305809161,NA,NA,NA,11.8965568322914,11.7,1.58,0.0295,0.387,0.00728,0.15,55.63,3.9,16.61,13.8
"PL331","PancrasLock","1",0.212334833282038,-0.083160785981404,NA,NA,NA,10.2579908390237,10.1,1.7,0.0265,0.387,0.00549,0.0845,53.26,2.02,15.01,11.4
"PL332","PancrasLock","1",0.151335418696678,0.143211094068723,NA,NA,NA,22.4649203016671,22.1,1.66,0.0374,0.434,0.00922,0.104,63.06,10.71,12.26,15.1
"PL333","PancrasLock","1",0.346149229350635,0.090053740921247,NA,NA,NA,20.7959713273634,20.5,1.76,0.0302,0.385,0.00826,0.168,59.52,11.06,9.66999999999999,12
"PL334","PancrasLock","1",0.300064677765956,-0.0644365616551445,NA,NA,NA,9.65794051511359,9.51,1.7,0.0265,0.331,0.00417,0.101,53.15,2.75,13,10.6
"PL335","PancrasLock","1",0.338651886998862,-0.0383817995747751,NA,NA,NA,10.6751207077771,10.5,1.72,0.0274,0.411,0.00789,0.0812,54.4,3.61000000000001,11.16,11
"PL336","PancrasLock","1",0.103794117988242,0.0631390540497366,NA,NA,NA,37.3896293852929,24.9,3.05,0.0337,0.357,0.00415,0.0173,68.09,0.940000000000012,2.45,12
"PL337","PancrasLock","1",0.190830242947504,0.0542570335538968,NA,NA,NA,23.4855626802493,18.5,2.49,0.0304,0.315,0.00452,0.0389,63.45,0.68,4.70999999999999,11.3
"PL338","PancrasLock","1",0.221641199838034,0.0699318709994327,NA,NA,NA,23.8821594481066,18.8,2.49,0.031,0.309,0.00376,0.023,63.88,0.809999999999995,3.43,10.2
"PL339","PancrasLock","1",-0.0383553678412201,0.0826398392309478,NA,NA,NA,55.5251143169518,32.5,3.49,0.0361,0.336,0.00499,0.0223,72.43,0.440000000000012,1.36999999999999,11.5
"PL340","PancrasLock","1",0.206737455361145,0.0662793310927045,NA,NA,NA,26.7080714349155,20.2,2.62,0.0314,0.297,0.00417,0.0426,64.53,1.01000000000001,3.2,10.5
"PL341","PancrasLock","1",0.116942324519545,0.0681283706794075,NA,NA,NA,29.4206699073078,21.8,2.68,0.0312,0.312,0.006,0.0395,65.8,0.919999999999987,4.55,11.6
"PL401","PancrasLock","1",0.282193105176348,0.0197281445316831,NA,NA,NA,21.7623338005031,17.1,2.51,0.0282,0.329,0.00954,0.029,62.09,1.67,3.95,10.6
"PL402","PancrasLock","1",0.179639552747233,-0.116252559918039,NA,NA,NA,9.80732850471601,9.63,1.72,0.0257,0.36,0.0137,0.113,52.79,2.87,17.08,12.3
"PL403","PancrasLock","1",0.355814285932684,-0.169460890896395,NA,NA,NA,7.87206760990069,7.75,1.76,0.0219,0.319,0.00731,0.0314,49.86,2.15,13.91,10.1
"PL404","PancrasLock","1",0.290200749181215,-0.0529366986457801,NA,NA,NA,14.8127667959871,14.6,1.66,0.0265,0.343,0.00909,0.0868,54.85,9.84,15.63,12.3
"PL405","PancrasLock","1",0.194187731792769,0.00418134946148738,NA,NA,NA,15.1153792703023,14.9,1.69,0.0284,0.36,0.00624,0.202,56.61,8.56,16.25,13.2
"PL406","PancrasLock","1",0.446703655414841,-0.120372908227386,NA,NA,NA,10.9452737374509,9.5,2.22,0.0227,0.3,0.00259,0.04,53.25,0.759999999999998,7.03,9.26
"PL407","PancrasLock","1",0.525744934015415,-0.126293042713604,NA,NA,NA,10.1164573198265,8.99,2.14,0.0211,0.289,0.0034,0.0471,51.95,1.51000000000001,6.25,8.79
"PL408","PancrasLock","1",0.327774331002342,-0.16288948536524,NA,NA,NA,9.7907860697469,8.9,2.06,0.0223,0.307,0.00837,0.0195,52.18,0.859999999999999,11.78,10.3
"PL409","PancrasLock","1",-0.0924301895822758,-0.0699276536265758,NA,NA,NA,22.4180716674822,19,2.24,0.0312,0.347,0.0145,0.0208,60.52,2,16.65,15.8
"PL410","PancrasLock","1",-0.00540785307833697,-0.105825975487825,NA,NA,NA,17.3950286812022,14.8,2.25,0.0287,0.328,0.021,0.0485,59.06,3.34999999999999,16.95,14.6
"PL411","PancrasLock","1",0.187421228072707,0.333423404443043,NA,NA,NA,33.3473807871159,31.7,1.86,0.0741,0.344,0.0111,0.249,70.36,15.39,6.33,11.3
"PL412","PancrasLock","1",0.372640622585719,0.0546273917214558,NA,NA,NA,16.061940905493,14.1,2.15,0.0279,0.332,0.0116,0.0619,60.49,3.05,4.02,10.3
"PL413","PancrasLock","1",0.199968206885079,0.0702716173803336,NA,NA,NA,26.0725718998843,19.9,2.59,0.031,0.302,0.00424,0.0217,64.67,0.579999999999998,3.06999999999999,10.6
"PL414","PancrasLock","1",0.144837768220626,0.0632232297018494,NA,NA,NA,32.4357696996783,23,2.83,0.0312,0.317,0.011,0.0514,66.54,1.47,3.19999999999999,11.7
"PL415","PancrasLock","1",0.171515763170578,0.0154791125586123,NA,NA,NA,33.0730801254743,22.3,3.03,0.0297,0.318,0.00371,0.022,65.68,1.09999999999999,2.97,11.2
"PL416","PancrasLock","1",0.340231527047278,0.0435644937059894,NA,NA,NA,17.3181734429782,15,2.19,0.0273,0.352,0.0113,0.0966,60,1.81,4.39,10.5
"PL417","PancrasLock","1",0.276073639883744,-0.0365745470692666,NA,NA,NA,10.6563326309372,10.5,1.76,0.0255,0.318,0.00441,0.0697,54.75,1.22000000000001,11.2,10.8
"PL418","PancrasLock","1",0.318565141840704,0.0424438570991676,NA,NA,NA,13.6934580291994,13.3,1.79,0.0316,0.419,0.0373,0.127,59.03,3.64,7.45,11.3
"PL419","PancrasLock","1",0.391867251669462,0.0181611815267192,NA,NA,NA,21.0854573680151,19.9,1.89,0.0346,0.676,0.0607,0.168,60,11.13,8.04000000000001,14.1
"PL420","PancrasLock","1",0.533007614274185,-0.00388730703674842,NA,NA,NA,10.777050876021,10.6,1.77,0.0242,0.41,0.00898,0.0901,54.4,4.24,5.54,9.92
"PL421","PancrasLock","1",0.552257298435154,0.00287136657032887,NA,NA,NA,10.5475133224164,10.3,1.8,0.0243,0.528,0.0149,0.0776,55.06,3.94,4.27,9.39
"PL422","PancrasLock","1",0.276394687049251,-0.142074276636906,NA,NA,NA,8.49076840497353,8.35,1.77,0.0235,0.413,0.00664,0.0547,51.32,1.81,14.83,9.22
"PL423","PancrasLock","1",0.127220737946248,-0.0436474076392445,NA,NA,NA,12.9430130088806,12.7,1.56,0.0291,0.43,0.017,0.116,55.53,6.13,18.03,14.5
"PL424","PancrasLock","1",0.37902929824799,-0.0931655494517733,NA,NA,NA,8.70436922429132,8.55,1.67,0.0253,0.41,0.0109,0.0829,51.86,3.41,12.25,10.5
"PL425","PancrasLock","1",0.304531707570936,-0.0875505311098102,NA,NA,NA,8.68478359000865,8.53,1.51,0.0239,0.316,0.0132,0.0986,51.51,2.66,14.34,11.1
"PL426","PancrasLock","1",0.441322506853122,-0.0960892756404191,NA,NA,NA,7.78114449875606,7.67,1.62,0.0231,0.298,0.00289,0.0278,50.59,1.27,10.09,9.43
"PL427","PancrasLock","1",0.542726050997959,-0.028994327942645,NA,NA,NA,10.1525242663799,9.96,1.78,0.025,0.343,0.0105,0.069,53.61,3.58,5.57,9.19
"PL428","PancrasLock","1",0.285779128402314,-0.0822279923738119,NA,NA,NA,10.8670404565737,10.6,1.81,0.027,0.302,0.00577,0.0513,53.72,2.37,12.49,11
"PL429","PancrasLock","1",0.464225319236355,-0.0503763665248667,NA,NA,NA,10.9877319433145,10.3,1.95,0.0237,0.304,0.00403,0.0382,54.22,1.9,6.3,9.1
"PL430","PancrasLock","1",0.41624891198945,-0.0415023827415389,NA,NA,NA,13.7781693290064,12,2.19,0.0237,0.293,0.00267,0.0214,56.35,0.900000000000006,5.02,8.97
"PL431","PancrasLock","1",0.218369461332902,0.0543451829219742,NA,NA,NA,27.0208665175976,20,2.7,0.0294,0.308,0.00388,0.0352,64.5,0.659999999999997,2.67,9.98
"PL432","PancrasLock","1",0.396030432353103,-0.00297788863018514,NA,NA,NA,14.3587769740565,12.9,2.08,0.0259,0.313,0.00649,0.039,57.44,1.91999999999999,5.26000000000001,9.09
"PL433","PancrasLock","1",0.501992887294234,-0.0207838501407903,NA,NA,NA,11.0394534896901,10.5,1.9,0.0259,0.338,0.0047,0.0423,54.8,2.63,5.11,8.95
"PL434","PancrasLock","1",0.511028048767949,-0.021492409136696,NA,NA,NA,9.18928849040118,9.05,1.66,0.0258,0.345,0.0039,0.0727,53.13,3.91,7.36,8.91
"PL435","PancrasLock","1",0.570656168436646,0.0515111791165084,NA,NA,NA,10.8716192434993,10.7,1.52,0.0266,0.33,0.00757,0.0595,55.28,7.2,5.64,9.15
"PL436","PancrasLock","1",0.496300193909594,0.0018120491142498,NA,NA,NA,9.46725813888962,9.32,1.44,0.0264,0.32,0.00465,0.086,52.69,4.41999999999999,8.46,9.49
"PL437","PancrasLock","1",0.191515099206251,0.223933221635915,NA,NA,NA,41.3051654700311,33.8,2.29,0.0359,0.39,0.0122,0.385,67.7,15.26,7.81999999999999,13.6
"PL438","PancrasLock","1",0.272928041734526,0.367688690533508,NA,NA,NA,27.8258267449492,27.2,1.31,0.0615,0.38,0.00665,0.23,68.07,18.42,8.55000000000001,11.7
"PL439","PancrasLock","1",0.223895681010984,0.344998624596219,NA,NA,NA,23.1366700946961,22.4,1.21,0.0796,0.459,0.0114,0.224,66.35,12.07,8.2,11.5
"RF301","RegentsParkFields","1",0.523069081439128,-0.186836103889727,NA,NA,NA,7.24967909144875,7.12,1.63,0.0204,0.454,0.0152,0.259,47.21,7.35,17.84,10.6
"RF302","RegentsParkFields","1",0.690011579954939,-0.0377577283268609,NA,NA,NA,7.78724401893103,7.64,1.71,0.0211,0.557,0.0182,0.384,51,10.93,9.87,10.7
"RF304","RegentsParkFields","1",0.513123247100267,-0.168601047611718,NA,NA,NA,6.04937377521438,5.93,1.45,0.0221,0.469,0.0139,0.147,47.16,5.21,16.16,10.1
"RF305","RegentsParkFields","1",0.276161232712732,-0.194945656953297,NA,NA,NA,9.0747778371142,8.92,1.51,0.0221,0.524,0.0146,0.142,49.22,5.08,23.49,13
"RF306","RegentsParkFields","1",0.606117278364494,0.0742760389447547,NA,NA,NA,10.2893490688443,10,1.46,0.0249,0.578,0.046,0.248,56.72,11.49,6.91,11.3
"RF307","RegentsParkFields","1",0.36287382112235,-0.147601411409413,NA,NA,NA,6.57965587025318,6.46,1.29,0.022,0.376,0.0118,0.113,47.89,2.15000000000001,18.34,10.8
"RF308","RegentsParkFields","1",0.296332202020204,-0.113218218078898,NA,NA,NA,10.1735747263613,10,1.29,0.0242,0.505,0.0137,0.185,51.15,8.83,24.46,14.2
"RF309","RegentsParkFields","1",0.187133442351023,-0.182317562609246,NA,NA,NA,8.52508361535976,8.34,1.29,0.0235,0.382,0.0242,0.121,49.88,4.5,26.28,15.8
"RF310","RegentsParkFields","1",0.145183720322802,-0.00681369902860665,NA,NA,NA,10.1401780386767,9.97,1.3,0.0271,0.398,0.00846,0.34,53.4,3.24,22.03,14.4
"RF311","RegentsParkFields","1",0.112091051946986,0.00987014543413678,NA,NA,NA,15.4287311292673,15.1,1.21,0.0359,0.422,0.0201,0.192,57.02,9.23,24.86,18.9
"RF312","RegentsParkFields","1",0.360531370188645,-0.166532318864418,NA,NA,NA,7.11883510114392,6.95,1.28,0.0236,0.502,0.0251,0.107,48.62,4.66,20.45,12.8
"RF313","RegentsParkFields","1",0.427264191193245,-0.144758778883105,NA,NA,NA,9.03798774445955,8.78,1.54,0.0289,0.647,0.037,0.104,51.38,7.31,16.75,12.9
"RF314","RegentsParkFields","1",0.714018071185122,-0.0889049594068484,NA,NA,NA,9.42799749386785,9.09,1.64,0.037,0.714,0.0476,0.113,51.68,9.89,6.26,10.9
"RF315","RegentsParkFields","1",0.676033357856509,-0.0636623742732542,NA,NA,NA,7.74565781496482,7.58,1.52,0.0233,0.574,0.0214,0.133,50.35,7.73999999999999,7.46,9.77
"RF316","RegentsParkFields","1",0.671519166029876,-0.0716063684489789,NA,NA,NA,8.88143110065327,8.67,1.57,0.0223,0.527,0.0329,0.18,51.35,10.49,9.45,10.3
"RF317","RegentsParkFields","1",0.542278397572922,-0.182784499440884,NA,NA,NA,6.01210738063446,5.92,1.41,0.0217,0.428,0.00379,0.0481,46.03,3.94,14.63,9.46
"RF318","RegentsParkFields","1",0.486265167497252,-0.1507398250865,NA,NA,NA,7.28707590066278,7.16,1.42,0.0234,0.518,0.00963,0.136,47.86,5.72,16.79,10.7
"RF319","RegentsParkFields","1",0.530764195333042,0.0220309925282051,NA,NA,NA,7.53404435161883,7.39,1.04,0.0286,0.362,0.00685,0.122,50.44,4.12,9.72,8.93
"RF320","RegentsParkFields","1",0.305647160485502,-0.157603279011637,NA,NA,NA,8.90780957999717,8.77,1.5,0.0248,0.483,0.00575,0.0316,50.09,3.48,19.24,11.7
"RF321","RegentsParkFields","1",0.375592553112486,-0.101102942440815,NA,NA,NA,11.5785330289254,11.4,1.61,0.0275,0.392,0.00629,0.0383,52.53,6.45,15.9,12.3
"RF322","RegentsParkFields","1",0.310630031528558,-0.213925062023225,NA,NA,NA,7.88504373685179,7.76,1.42,0.0232,0.496,0.00714,0.0641,47.81,4.45,23.18,12
"RF323","RegentsParkFields","1",0.343208383827957,-0.150881656250546,NA,NA,NA,8.44052070282007,8.27,1.3,0.0249,0.479,0.0177,0.0749,49.53,5.43,20.68,11.8
"RF324","RegentsParkFields","1",0.582848034962484,-0.0701226074348968,NA,NA,NA,13.260629016039,13.1,1.69,0.023,0.319,0.00485,0.0715,52.25,10.05,10.52,9.24
"RF325","RegentsParkFields","1",0.510234825870093,-0.166402869006626,NA,NA,NA,6.14980873630508,6.03,1.43,0.0245,0.54,0.01,0.0414,47.41,3.89,14.38,10.3
"RF326","RegentsParkFields","1",0.528950861215942,-0.141857215670304,NA,NA,NA,6.01426179102354,5.92,1.34,0.023,0.365,0.00269,0.0559,46.42,1.9,12.33,8.74
"RF327","RegentsParkFields","1",0.571985712945592,0.0264969002109378,NA,NA,NA,13.2729568337884,13.1,1.47,0.0255,0.363,0.00412,0.158,53.75,10.43,9.71,8.6
"RF328","RegentsParkFields","1",0.519037730238088,-0.15241847669691,NA,NA,NA,6.37262799311725,6.24,1.4,0.0248,0.515,0.0135,0.0749,47.29,3.29,13.33,10.1
"RF329","RegentsParkFields","1",0.572432267223034,-0.137647217898699,NA,NA,NA,6.88200684559757,6.71,1.35,0.0245,0.582,0.0262,0.0729,48.45,6.56,13.3,10.1
"RF330","RegentsParkFields","1",0.570643635125486,-0.161323251068544,NA,NA,NA,5.4688130540715,5.38,1.28,0.0228,0.397,0.00291,0.0844,44.7,1.83,12.53,8.59
"RF331","RegentsParkFields","1",0.529037669819805,-0.128654200085138,NA,NA,NA,6.05484441987026,5.95,1.25,0.0243,0.505,0.00479,0.0747,46.44,2.43,12.93,9.55
"RF332","RegentsParkFields","1",0.591225759888776,-0.0779025277291186,NA,NA,NA,7.65432890842464,7.49,1.28,0.0292,0.464,0.0125,0.102,48.3,4.59,10,9.25
"RF333","RegentsParkFields","1",0.668251439459929,-0.109770609779828,NA,NA,NA,8.36634082904036,8.17,1.55,0.0231,0.531,0.0292,0.149,49,7.01000000000001,8.34,9.53
"RF334","RegentsParkFields","1",0.494080994615962,-0.112671965429003,NA,NA,NA,8.99194270165875,8.81,1.38,0.0247,0.409,0.0195,0.158,48.95,5.64,14.53,11
"RF335","RegentsParkFields","1",0.375180281484272,-0.15425889205456,NA,NA,NA,6.3036687842119,6.18,1.26,0.0241,0.53,0.0114,0.0746,47.81,2.65000000000001,18.56,10.7
"RF336","RegentsParkFields","1",0.560710005945248,-0.101879461629304,NA,NA,NA,8.06080019036061,7.92,1.65,0.0263,0.447,0.0072,0.12,49.65,4.67,9.77,9.32
"RF337","RegentsParkFields","1",0.415343394253707,-0.168967041975695,NA,NA,NA,5.57715616631319,5.48,1.16,0.0229,0.365,0.0058,0.0801,45.7,1.74,18.33,9.7
"RF338","RegentsParkFields","1",0.528729262444219,-0.142172481484671,NA,NA,NA,6.10269464667513,5.99,1.32,0.0236,0.534,0.00875,0.103,46.44,2.72,13.28,9.44
"RF339","RegentsParkFields","1",0.327167147129718,-0.152903095260641,NA,NA,NA,10.0765655810255,9.89,1.38,0.0256,0.492,0.0157,0.0966,50.54,8.04000000000001,22.85,13.2
"RF340","RegentsParkFields","1",0.199388180542502,-0.0880154385956263,NA,NA,NA,11.003954644437,10.8,1.23,0.03,0.655,0.0111,0.079,52.96,7.15,24.5,15.1
"RF341","RegentsParkFields","1",0.482220472532487,-0.113607705222853,NA,NA,NA,5.9751815425053,5.87,1.13,0.0244,0.382,0.00511,0.0591,46.79,1.94,14.1,9.57
