"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA","RA"
"CT544","CamdenTown","1",-0.18524153531843,0.391047821074067,45.9416686518882,39,2.17,0.0411,0.339,0.00591,0.204,70.82,12.11,5.74000000000001,13.3
"ET401","EustonTap","1",-0.237145362794367,0.267651296841439,29.3714346659045,28.9,1.74,0.0444,0.333,0.00524,0.115,69.23,6.22999999999999,6.67999999999999,12.6
"ET402","EustonTap","1",-0.140972466255725,0.267476103631523,22.9025854200447,22.6,1.62,0.0324,0.335,0.00484,0.126,62.97,10.36,5.02,10.7
"ET403","EustonTap","1",-0.147195727005846,0.281113060751906,23.6787015248632,23.3,1.71,0.041,0.31,0.00417,0.119,66.83,8.25999999999999,5.84,12.1
"ET404","EustonTap","1",0.0228207748573103,0.229611400259113,15.1126451354213,14.9,1.67,0.0286,0.293,0.00532,0.159,58.56,2.64,10.71,11.2
"ET405","EustonTap","1",-0.115843405250312,0.273653738058096,22.8278900220474,22,1.84,0.0402,0.308,0.00449,0.125,66.89,3.92999999999999,6.34,12.4
"ET406","EustonTap","1",0.0297262482374736,0.256935456096836,15.7477709945166,15.5,1.53,0.0318,0.33,0.00717,0.23,59.79,4.39,13.6,13.3
"ET407","EustonTap","1",-0.191984205474606,0.230047273835204,27.8491103760016,26.8,1.84,0.0454,0.316,0.00481,0.165,68.41,6.58000000000001,6.89,12.9
"ET408","EustonTap","1",-0.0097335028600038,0.250553110321215,16.0345128266808,15.8,1.52,0.0318,0.311,0.00364,0.0649,59.59,7.23999999999999,7.7,10.8
"ET409","EustonTap","1",-0.220752555653273,0.24224135473273,31.2375558277004,29.1,1.93,0.0441,0.315,0.00537,0.172,69.98,16.48,6.16,12.5
"ET410","EustonTap","1",-0.105529952153984,0.284137344251462,22.7251936641266,22.4,1.6,0.0355,0.284,0.00449,0.359,64.31,13.06,10.5,11.3
"ET411","EustonTap","1",-0.0297610511226195,0.247187106793694,18.2652493166334,18,1.6,0.0329,0.299,0.00435,0.274,60.95,7.63,10.69,11.1
"ET412","EustonTap","1",-0.0259783089494518,0.223381880831605,18.8197129850512,17.7,1.92,0.0353,0.394,0.00354,0.0679,63,2.69,8.43000000000001,11.5
"ET413","EustonTap","1",-0.0425129497995915,0.24369877989134,18.3830817218998,18.1,1.71,0.0342,0.403,0.00582,0.0725,61.94,4.07,8.74000000000001,11.8
"ET414","EustonTap","1",-0.0860101411365969,0.299247392356889,19.8265996015683,19.5,1.63,0.0394,0.306,0.00392,0.0533,65.36,3.48,5.27,11.3
"ET415","EustonTap","1",0.0194228916859135,0.257411213175863,15.6572012461651,15.4,1.72,0.0354,0.338,0.00408,0.068,62.05,1.28,11.5,11
"ET416","EustonTap","1",-0.177307380005298,0.123986315826526,34.5884206000934,29.9,2.14,0.0405,0.31,0.00572,0.226,67.07,6.81000000000001,10,13.1
"ET417","EustonTap","1",-0.0534530537868732,0.230181047709444,22.4438647455643,21,1.93,0.0359,0.299,0.00408,0.238,64.53,2.05,12.7,12.2
"ET418","EustonTap","1",-0.0413242177829716,0.254583119687633,18.9778548755392,18.2,1.86,0.0339,0.294,0.00539,0.2,63.33,2.88,8.07000000000001,11.5
"ET419","EustonTap","1",-0.194654064501497,0.101984710634557,43.9291480773218,34.1,2.45,0.0473,0.357,0.00631,0.409,73,7.03,7.28,14
"ET420","EustonTap","1",-0.139407070628816,0.219352542236522,29.9093222877716,25.7,2.17,0.0396,0.344,0.00668,0.0923,68.93,1.08999999999999,5.22999999999999,12.2
"ET421","EustonTap","1",-0.113342448477066,0.264228600136379,25.1047181982338,22.9,2,0.0412,0.313,0.00502,0.0581,68.52,1.39,6.18000000000001,12.3
"ET422","EustonTap","1",-0.0269228673370825,0.202452408958595,21.2477901783771,19,2.07,0.0351,0.295,0.0128,0.114,63.85,1.3,9.45,11.7
"ET423","EustonTap","1",0.0185883595089861,0.221778207365297,15.6256740097679,15.1,1.84,0.0311,0.295,0.00375,0.0822,60.25,6.58,9.83,10.9
"ET424","EustonTap","1",-0.0864106916433701,0.165335885981246,26.6296705499804,23.1,2.15,0.0381,0.326,0.00638,0.208,65.53,9.31,8.28999999999999,12.1
"ET425","EustonTap","1",-0.236437202046763,0.224906466980414,33.1331088384768,30.3,1.98,0.0406,0.322,0.00603,0.24,69.18,12.4,5.36,12.2
"ET426","EustonTap","1",-0.246547376087303,0.198827944674135,32.0787491592715,30.3,1.89,0.047,0.349,0.00585,0.132,69.35,9.73,6.11,12.9
"ET427","EustonTap","1",-0.365003187323743,0.182576873971503,43.6518426301061,39,2.03,0.0463,0.328,0.0057,0.118,72.8,8.39,4.63000000000001,13.2
"ET428","EustonTap","1",-0.112465089295263,0.2344000630709,22.5116846331124,22.2,1.73,0.0345,0.324,0.00389,0.14,63.03,9.73999999999999,8.73999999999999,11.5
"ET429","EustonTap","1",-0.332872529526406,0.223553620733903,39.7527703284339,36.1,1.99,0.0498,0.33,0.00497,0.0992,73.9,9.53,3.94999999999999,13
"ET430","EustonTap","1",0.0335360987800133,0.198050236919453,15.6018221169762,14.8,1.9,0.0297,0.325,0.00319,0.0667,59.37,5.47,10.87,12.1
"ET431","EustonTap","1",-0.325437027518446,0.221354178181718,42.0888572390151,37.5,2.04,0.042,0.307,0.00567,0.329,72.45,17.38,7.17,12.7
"ET432","EustonTap","1",-0.270595514665482,0.252048789725735,31.4486168663074,31,1.76,0.0386,0.322,0.00505,0.188,67.66,12.72,7.18000000000001,12.4
"ET433","EustonTap","1",-0.240261764491402,0.236509728327189,32.5065849366824,30.5,1.91,0.0386,0.305,0.00478,0.184,68.36,12.54,7.25,12.6
"ET435","EustonTap","1",-0.0432992439537352,0.20058135573385,19.7176423703781,18.6,1.91,0.0322,0.309,0.00609,0.243,61.47,7.01,8.11,11
"ET436","EustonTap","1",-0.204655134279965,0.257619393884195,28.5471345369746,27.2,1.87,0.0405,0.311,0.00486,0.172,68.27,7.37,5.18000000000001,12.4
