"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","N5","S","R","I","FS","LAeq","LA10_LA90","LCeq_LAeq","SIL3"
"CT534","CamdenTown","1",0.0479820211715713,0.262052871458746,3.21194403150918,3.78365975663819,1.76495752627435,19.4,1.76,0.0344,0.383,0.0113,63.17,7.58000000000001,9.41,52.3
"CT535","CamdenTown","1",-0.0502854599616035,0.392957820961187,3.27916487173813,3.77621628682102,1.57835886310349,33.6,1.91,0.0445,0.33,0.00838,69.71,11.09,4.21000000000001,57.99
"CT536","CamdenTown","1",0.024291675525861,0.270700002347982,3.22590248438798,3.71035651341943,1.69269570375743,22.3,1.67,0.0357,0.347,0.00823,63.3,7.03,11.57,51.71
"CT537","CamdenTown","1",-0.0245453797627485,0.370859734192348,3.2637849972293,3.75605354728339,1.48759244444737,30.9,1.91,0.0409,0.364,0.00507,68.64,13.76,8.22,57.19
"CT538","CamdenTown","1",-0.031080087431953,0.344275571828103,3.25772438570979,3.68496191946461,1.57042464134035,33.5,1.79,0.0598,0.363,0.00892,68.27,14.39,9.04000000000001,55.12
"CT539","CamdenTown","1",-0.0723801307900842,0.331546698615408,3.23045671723567,3.77853744028586,1.52931069000581,35.9,1.98,0.0386,0.335,0.00575,67.35,11.21,9.31,56.48
"CT540","CamdenTown","1",-0.0453599256941502,0.383998837948711,3.27053891986375,3.75329310626765,1.49241304359246,33.5,1.94,0.0476,0.332,0.00854,69.28,11.92,6.78999999999999,57.98
"CT541","CamdenTown","1",0.0175045905939811,0.313460373330561,3.24832624948885,3.72220830978393,1.57751842668652,23.9,1.74,0.0359,0.368,0.0107,64.96,9.43000000000001,10.83,53.9
"CT542","CamdenTown","1",-0.0079575695586542,0.349463369505976,3.25354856591464,3.79222015832573,1.50208999942117,27.9,1.93,0.0369,0.351,0.0142,66.86,11.83,8.54000000000001,56.95
"CT543","CamdenTown","1",-0.0697286643985644,0.334019498803011,3.23554970535617,3.79044663115293,1.55104787455143,36.3,1.94,0.0348,0.342,0.00592,67.66,14.64,8.98,56.16
"CT544","CamdenTown","1",-0.0933060015803155,0.397931591864349,3.25355813777797,3.82297466214968,1.4300750931164,39,2.17,0.0411,0.339,0.00591,70.82,12.11,5.74000000000001,60.46
"CT545","CamdenTown","1",-0.134667909408286,0.410719609079581,3.27558783415279,3.66469909828733,1.49402780358261,45.6,2,0.0688,0.323,0.00985,73.14,9.18000000000001,5.04000000000001,59.12
"ET401","EustonTap","1",-0.158418095241567,0.255799679025064,2.7613736138365,3.43696645074565,1.5857237744598,28.9,1.74,0.0444,0.333,0.00524,69.23,6.22999999999999,6.67999999999999,57.49
"ET402","EustonTap","1",-0.167972725819122,0.131783462794545,2.87433035536187,3.95300608005456,2.13282870160895,22.6,1.62,0.0324,0.335,0.00484,62.97,10.36,5.02,50.56
"ET403","EustonTap","1",-0.132399417940784,0.225900022978184,2.79038444137128,3.63178446765489,1.74403406489341,23.3,1.71,0.041,0.31,0.00417,66.83,8.25999999999999,5.84,55.69
"ET404","EustonTap","1",-0.106250997892343,0.106024940851981,2.87353499626042,3.88732139391414,2.03037167491391,14.9,1.67,0.0286,0.293,0.00532,58.56,2.64,10.71,49.4
"ET405","EustonTap","1",-0.116261181044253,0.221567842063644,2.74160643601921,3.50136080431201,1.70462361643232,22,1.84,0.0402,0.308,0.00449,66.89,3.92999999999999,6.34,56.76
"ET406","EustonTap","1",-0.101080964231784,0.107733924373563,2.9254671881617,3.87071541087995,1.93760713454222,15.5,1.53,0.0318,0.33,0.00717,59.79,4.39,13.6,48.3
"ET407","EustonTap","1",-0.138073041919347,0.239220308879891,2.73120355661726,3.48621573533205,1.61239663794455,26.8,1.84,0.0454,0.316,0.00481,68.41,6.58000000000001,6.89,57.67
"ET408","EustonTap","1",-0.109504138333272,0.101129850865548,2.93250816481713,3.90908283296129,2.18730837103524,15.8,1.52,0.0318,0.311,0.00364,59.59,7.23999999999999,7.7,47.93
"ET409","EustonTap","1",-0.182956863062194,0.232426429988674,2.69675705780297,3.94562853160969,1.62163383131056,29.1,1.93,0.0441,0.315,0.00537,69.98,16.48,6.16,58.47
"ET410","EustonTap","1",-0.158832335344159,0.164342395826297,2.86520588539145,4.05893878925199,1.81257792638553,22.4,1.6,0.0355,0.284,0.00449,64.31,13.06,10.5,51.85
